id,addon,file,line,callable,site_type,invoker,input_provenance,user_controlled_input,records_before_sudo,scope,output_mutation,audit_history,regression_test,risk,follow_up,runtime_covered,remediated
1,pm_qms_action_center,addons/pm_qms_action_center/models/action_center.py,183,"value = self.env[""ir.config_parameter""].sudo().get_param(""pm_qms.action_center.due_soon_days"", ""7"")",PRODUCTION_REVIEWED,Authenticated QMS dashboard/action-center request,Fixed configuration parameter name and default,NO; no user IDs or domains,None; ir.config_parameter key is fixed,Global product configuration only; no business record returned,Reads due-soon threshold; no mutation,No business event; configuration read is side-effect free,TestPmQmsActionCenter test suite; action-center focused tests,P2 operational,Retain bounded lookup; M28 may review configuration access as a group,NO,NO_NEW_SUDO_IN_M27
2,pm_qms_app,addons/pm_qms_app/models/actions.py,23,"return super(IrActionsActWindow, self.sudo()).read(fields=fields, load=load)",PRODUCTION_REVIEWED,Odoo action manager reading an act_window action,Action record IDs supplied by the Odoo action/menu resolver,"Action ID may be requested by a client, but only the selected action record is read",The current action recordset; no arbitrary model search or domain is introduced,Only the Users & Access action receives delegated read; group gate is checked first,Returns action metadata; no mutation,No business record mutation or history event,TestM27Security.test_qms_administrator_framework_authority and native action boundary tests,P1 authorization-sensitive,Keep allow-list action gate; add endpoint-level action-ID test in M31,YES,NO_NEW_SUDO_IN_M27
3,pm_qms_app,addons/pm_qms_app/models/user_access.py,146,"organizations = self.env[""pm.qms.organization""].sudo().search(",PRODUCTION_REVIEWED,QMS user effective-scope computation,Current user company_ids and explicit QMS organization scope,User controls assigned scope only through authorized Users & Access administration,Fixed model search constrained to the current user's company IDs,Organization lookup is limited to allowed companies before the result is assigned,Reads organizations and populates computed scope fields; no organization mutation,Scope configuration changes use normal res.users write/tracking path,TestM27Security scope fixture and Mission 19 control-read-scope tests,P1 authorization-sensitive,M28 broaden cross-tenant scope fixture; retain company predicate before sudo,YES,NO_NEW_SUDO_IN_M27
4,pm_qms_app,addons/pm_qms_app/models/user_access.py,152,"available_processes = self.env[""pm.qms.process""].sudo().search(",PRODUCTION_REVIEWED,QMS user effective-process-scope computation,Computed organization IDs from the same current-user scope,User controls assigned organization scope only through authorized administration,Fixed process search constrained to computed organization IDs,Process lookup is bounded by authorized organizations before assignment,Reads processes and populates computed scope fields; no process mutation,No business event from a computed read,TestM27Security scope fixture and Mission 19 process boundary tests,P1 authorization-sensitive,M28 add a cross-site/process matrix; preserve organization predicate,YES,NO_NEW_SUDO_IN_M27
5,pm_qms_app,addons/pm_qms_app/tests/test_m27_security.py,20,"cls.organization_a = cls.env[""pm.qms.organization""].sudo().create(",TEST_ONLY_FIXTURE,Disposable test fixture or assertion,Test-defined fictional data,NO; test-controlled,Disposable test record setup,Test transaction only,Test data setup/assertion only,Not production history,M27/full QMS test suite,non-customer technical,None; test-only,YES,NOT_APPLICABLE
6,pm_qms_app,addons/pm_qms_app/tests/test_m27_security.py,23,"cls.organization_b = cls.env[""pm.qms.organization""].sudo().create(",TEST_ONLY_FIXTURE,Disposable test fixture or assertion,Test-defined fictional data,NO; test-controlled,Disposable test record setup,Test transaction only,Test data setup/assertion only,Not production history,M27/full QMS test suite,non-customer technical,None; test-only,YES,NOT_APPLICABLE
7,pm_qms_app,addons/pm_qms_app/tests/test_m27_security.py,26,"cls.site_a1 = cls.env[""pm.qms.site""].sudo().create(",TEST_ONLY_FIXTURE,Disposable test fixture or assertion,Test-defined fictional data,NO; test-controlled,Disposable test record setup,Test transaction only,Test data setup/assertion only,Not production history,M27/full QMS test suite,non-customer technical,None; test-only,YES,NOT_APPLICABLE
8,pm_qms_app,addons/pm_qms_app/tests/test_m27_security.py,29,"cls.site_a2 = cls.env[""pm.qms.site""].sudo().create(",TEST_ONLY_FIXTURE,Disposable test fixture or assertion,Test-defined fictional data,NO; test-controlled,Disposable test record setup,Test transaction only,Test data setup/assertion only,Not production history,M27/full QMS test suite,non-customer technical,None; test-only,YES,NOT_APPLICABLE
9,pm_qms_app,addons/pm_qms_app/tests/test_m27_security.py,32,"cls.site_b1 = cls.env[""pm.qms.site""].sudo().create(",TEST_ONLY_FIXTURE,Disposable test fixture or assertion,Test-defined fictional data,NO; test-controlled,Disposable test record setup,Test transaction only,Test data setup/assertion only,Not production history,M27/full QMS test suite,non-customer technical,None; test-only,YES,NOT_APPLICABLE
10,pm_qms_app,addons/pm_qms_app/tests/test_m27_security.py,35,"cls.process_a = cls.env[""pm.qms.process""].sudo().create(",TEST_ONLY_FIXTURE,Disposable test fixture or assertion,Test-defined fictional data,NO; test-controlled,Disposable test record setup,Test transaction only,Test data setup/assertion only,Not production history,M27/full QMS test suite,non-customer technical,None; test-only,YES,NOT_APPLICABLE
